Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
101930,KR7101930006,인화정공,KOSDAQ,우량기업부,9420,2,-660,-6.55,9970,10050,9270,21841,209392980,434868742200,46164410,KSQ
456010,KR7456010008,아이씨티케이,KOSDAQ,기술성장기업부,30700,2,-2950,-8.77,32000,33200,30300,848575,26394285775,430134445800,14010894,KSQ
065680,KR7065680001,우주일렉트로,KOSDAQ,우량기업부,46350,1,800,1.76,44950,46500,40500,47870,2134435275,428295830850,9240471,KSQ
079940,KR7079940003,가비아,KOSDAQ,우량기업부,31900,1,250,0.79,32650,32700,31700,11310,362084400,428119819600,13420684,KSQ
354320,KR7354320004,알멕,KOSDAQ,기술성장기업부,66700,2,-6500,-8.88,72300,72300,66100,160425,10904961650,426305112700,6391381,KSQ
039440,KR7039440003,에스티아이,KOSDAQ,우량기업부,27450,2,-1250,-4.36,28000,28700,27200,86004,2379123325,425668440150,15507047,KSQ
199800,KR7199800004,툴젠,KOSDAQ,기술성장기업부,47300,2,-800,-1.66,47200,48600,45250,66550,3107570875,425587851700,8997629,KSQ
095660,KR7095660007,네오위즈,KOSDAQ,우량기업부,19650,1,320,1.66,19530,19770,19040,57334,1116030130,425156419350,21636459,KSQ
424870,KR7424870004,이뮨온시아,KOSDAQ,기술성장기업부,5700,2,-450,-7.32,6090,6090,5500,216131,1247549695,424319793300,74442069,KSQ
036620,KR7036620003,감성코퍼레이션,KOSDAQ,우량기업부,4680,2,-95,-1.99,4775,4870,4635,281444,1326080019,423557648280,90503771,KSQ
138080,KR7138080007,오이솔루션,KOSDAQ,벤처기업부,34200,2,-550,-1.58,34800,35150,32000,255268,8623657100,423319323600,12377758,KSQ
117730,KR7117730002,티로보틱스,KOSDAQ,벤처기업부,18680,1,390,2.13,18810,19470,18020,296313,5605653315,421384243240,22558043,KSQ
013030,KR7013030002,하이록코리아,KOSDAQ,우량기업부,35700,1,50,0.14,34800,35950,34100,36904,1298877150,420122740800,11768144,KSQ
394280,KR7394280002,오픈엣지테크놀로지,KOSDAQ,기술성장기업부,15920,2,-260,-1.61,16550,16950,15770,151923,2455044430,419436757600,26346530,KSQ
