Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
004105,KR7004101002,태양금속우,KOSPI,,3480,2,-40,-1.14,3580,3580,3360,50786,174585675,11484000000,3300000,STK
145995,KR7145991006,삼양사우,KOSPI,,30650,1,250,0.82,30400,31050,30400,320,9912400,11342645500,370070,STK
004255,KR7004251005,NPC우,KOSPI,,2110,2,-40,-1.86,2150,2150,2100,13256,27987598,11140800000,5280000,STK
33637L,KR733637K028,솔루스첨단소재2우B,KOSPI,,2755,2,-5,-0.18,2715,2930,2590,37303,103672905,10409205480,3778296,STK
001067,KR7001062009,JW중외제약2우B,KOSPI,,49250,2,-850,-1.7,50800,50800,49100,30,1503850,10341170250,209973,STK
008500,KR7008500001,일정실업,KOSPI,,1583,2,-255,-13.87,1899,1899,1583,47073,81465672,9498000000,6000000,STK
145210,KR7145210001,다이나믹디자인,KOSPI,,224,0,0,0.0,0,0,0,0,0,9461013632,42236668,STK
003075,KR7003071008,코오롱글로벌우,KOSPI,,12760,2,-620,-4.63,13200,13280,12700,1415,18216485,9451804120,740737,STK
000225,KR7000221002,유유제약1우,KOSPI,,3830,2,-155,-3.89,4045,4050,3800,22005,84424890,8682341900,2266930,STK
001065,KR7001061001,JW중외제약우,KOSPI,,24300,2,-50,-0.21,24350,24350,24300,45,1093600,8309409300,341951,STK
004835,KR7004831004,덕성우,KOSPI,,5860,2,-260,-4.25,5920,5920,5860,8492,49977100,8157120000,1392000,STK
004985,KR7004981007,성신양회우,KOSPI,,10250,2,-40,-0.39,10290,10290,10020,2635,26862270,7540361250,735645,STK
000325,KR7000321000,노루홀딩스우,KOSPI,,27300,2,-700,-2.5,27050,27300,27050,191,5188300,6649160700,243559,STK
26490K,KR726490K013,크라운제과우,KOSPI,,8330,2,-200,-2.34,8530,8530,8250,1006,8345820,6443754800,773560,STK
009415,KR7009411000,태영건설우,KOSPI,,8490,2,-1010,-10.63,8800,8800,8420,14151,121593820,5518279260,649974,STK
090355,KR7090351008,노루페인트우,KOSPI,,11650,2,-340,-2.84,11660,11660,11650,369,4299850,5395417900,463126,STK
000545,KR7000541003,흥국화재우,KOSPI,,6350,2,-180,-2.76,6360,6390,6350,5587,35576510,4876800000,768000,STK
000145,KR7000141002,하이트진로홀딩스우,KOSPI,,9700,2,-180,-1.82,9740,9740,9700,607,5897820,4566857000,470810,STK
014825,KR7014821003,동원시스템즈우,KOSPI,,15300,1,40,0.26,15860,15860,15200,235,3575140,4040898300,264111,STK
014285,KR7014281000,금강공업우,KOSPI,,6650,2,-100,-1.48,6750,6750,6650,271,1809650,3922668750,589875,STK
002995,KR7002991008,금호건설우,KOSPI,,13320,2,-670,-4.79,13630,13630,13310,3069,41261960,3892983120,292266,STK
36328K,KR736328K013,티와이홀딩스우,KOSPI,,3310,2,-205,-5.83,3455,3455,3275,4430,14564835,3889081190,1174949,STK
005745,KR7005741004,크라운해태홀딩스우,KOSPI,,6360,2,-340,-5.07,6740,6740,6360,496,3169460,3820617360,600726,STK
005965,KR7005961008,동부건설우,KOSPI,,16600,2,-320,-1.89,16920,16920,16600,353,5928170,3747151200,225732,STK
008355,KR7008351009,남선알미우,KOSPI,,11800,2,-250,-2.07,12050,12050,11800,1044,12393130,3633102000,307890,STK
140910,KR7140910001,에이리츠,KOSPI,,805,2,-293,-26.68,1015,1015,805,520145,470043651,3592740760,4463032,STK
007575,KR7007571003,일양약품우,KOSPI,,8000,2,-190,-2.32,8070,8070,8000,846,6803070,3560640000,445080,STK
004545,KR7004541009,깨끗한나라우,KOSPI,,9590,2,-110,-1.13,9890,9890,9490,434,4135370,3511474400,366160,STK
000227,KR7000222000,유유제약2우B,KOSPI,,10740,1,70,0.66,10670,10790,10670,154,1658460,3496514400,325560,STK
014915,KR7014911002,성문전자우,KOSPI,,4865,1,5,0.1,4840,5270,4840,24048,120992125,2919000000,600000,STK
001525,KR7001521004,동양우,KOSPI,,4680,2,-140,-2.9,4820,4820,4680,1557,7307030,2890981080,617731,STK
002785,KR7002781003,진흥기업우B,KOSPI,,3200,1,40,1.27,3200,3200,3200,6035,19312000,2743097600,857218,STK
011155,KR7011151008,CJ씨푸드1우,KOSPI,,11930,2,-160,-1.32,12000,12000,11890,36,428760,2386000000,200000,STK
002787,KR7002782001,진흥기업2우B,KOSPI,,7830,2,-10,-0.13,7620,7830,7620,15,116160,2308346640,294808,STK
001527,KR7001522002,동양2우B,KOSPI,,7390,2,-10,-0.14,7500,7500,7180,379,2739790,2280324910,308569,STK
004415,KR7004411005,서울식품우,KOSPI,,8720,2,-1350,-13.41,10070,10070,8720,12091,114601440,1939764000,222450,STK
