Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2018-09-07,818.86,1,3.68,0.0045,816.09,820.22,810.28,699516837,4536320400673,273534916750611.0
2018-09-10,816.16,2,-2.7,-0.0033,819.7,820.13,814.87,618278673,3922651952386,272533563410097.0
2018-09-11,820.23,1,4.07,0.005,816.21,821.29,815.82,688245471,4022844254451,274074079176991.0
2018-09-12,826.33,1,6.1,0.0074,824.52,827.75,820.34,639687491,5508599438041,276204491458732.0
2018-09-13,830.95,1,4.62,0.0056,828.54,830.95,825.1,552197766,4499267498988,277947585319826.0
2018-09-14,834.91,1,3.96,0.0048,833.84,836.36,831.17,603310027,5167283528703,279317641383401.0
2018-09-17,828.88,2,-6.03,-0.0072,837.93,837.97,826.16,587176284,4627530248489,277351012949646.0
2018-09-18,831.85,1,2.97,0.0036,826.44,833.66,824.87,704540424,5192696245170,276051927353647.0
2018-09-19,826.91,2,-4.94,-0.0059,833.0,834.15,824.46,788461469,6360568595936,274432043344296.0
2018-09-20,821.13,2,-5.78,-0.0069999999999999,829.2,832.51,819.3,686613089,6691515372823,272491011112509.0
2018-09-21,827.84,1,6.71,0.0081999999999999,825.16,827.92,821.36,532199942,4244709825328,274958905292278.0
2018-09-27,833.01,1,5.17,0.0062,828.09,834.29,827.88,551570335,3992029047663,276709737564135.0
2018-09-28,822.27,2,-10.74,-0.0129,832.37,833.14,819.9,704225581,4184390100154,273283124656181.0
2018-10-01,816.53,2,-5.74,-0.0069999999999999,824.86,825.53,813.48,571063155,3619620635172,271668920563327.0
2018-10-02,794.99,2,-21.54,-0.0264,817.39,818.46,794.99,587846630,3973314294873,264484947848439.0
2018-10-04,789.0,2,-5.99,-0.0075,800.03,801.46,785.14,528695877,3716734884375,262857464475025.0
2018-10-05,773.7,2,-15.3,-0.0194,784.94,791.32,769.29,573663099,3680850862085,257708002634756.0
2018-10-08,767.15,2,-6.55,-0.0085,772.36,784.47,767.08,516022536,3001838448983,255583943734479.0
2018-10-10,747.5,2,-19.65,-0.0256,768.31,770.85,746.63,669594222,3772109714063,249033708969613.0
2018-10-11,707.38,2,-40.12,-0.0537,720.22,733.04,707.31,699184831,4318476517061,235602529494587.0
2018-10-12,731.5,1,24.12,0.0341,704.72,731.5,704.72,557284456,3792517199172,243729490107583.0
2018-10-15,718.87,2,-12.63,-0.0173,732.98,733.9,717.72,496932092,3423222422824,239803745335333.0
2018-10-16,731.5,1,12.63,0.0176,724.3,734.12,724.3,472808145,2903469637056,244107600362184.0
2018-10-17,739.15,1,7.65,0.0105,744.21,746.14,732.61,536539291,3441848979443,246645296674458.0
2018-10-18,731.34,2,-7.81,-0.0106,741.21,742.24,730.08,482969617,2829537430755,244234781151314.0
2018-10-19,740.48,1,9.14,0.0125,725.29,740.54,718.48,440055700,3089661949957,247315788068331.0
2018-10-22,744.15,1,3.67,0.005,736.74,744.15,733.11,421570139,2491781835599,248675230760827.0
2018-10-23,719.0,2,-25.15,-0.0338,740.35,742.45,716.85,487839856,3154876659133,240261632450191.0
2018-10-24,699.3,2,-19.7,-0.0274,727.07,729.89,697.13,513842585,3632296376924,233616837595389.0
2018-10-25,686.84,2,-12.46,-0.0178,678.49,693.07,672.17,553155175,3618319329853,229296402534139.0
2018-10-26,663.07,2,-23.77,-0.0346,694.37,694.37,658.11,582817774,3581572531432,221754331529662.0
2018-10-29,629.7,2,-33.37,-0.0503,663.95,674.77,629.7,657089560,3899579842563,210461598792191.0
2018-10-30,644.14,1,14.44,0.0229,623.33,644.65,617.0,798837464,3996019127875,215282558501292.0
2018-10-31,648.67,1,4.53,0.0069999999999999,648.72,650.38,638.38,619017750,2789811796286,216610549871934.0
