Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2017-09-20,2412.2,2,-3.85,-0.0016,2420.82,2429.12,2405.78,303285695,5630703817910,1570621055795349.0
2017-09-21,2406.5,2,-5.7,-0.0024,2412.01,2415.13,2401.89,335339397,5730119293374,1567070759645542.0
2017-09-22,2388.71,2,-17.79,-0.0074,2404.35,2409.3,2381.81,333616875,6124475818338,1555336611718071.0
2017-09-25,2380.4,2,-8.31,-0.0034999999999999,2388.77,2392.44,2374.69,339345624,4855652545008,1550628202365961.0
2017-09-26,2374.32,2,-6.08,-0.0026,2371.62,2381.31,2365.34,319124829,5853154110552,1545785411006070.0
2017-09-27,2372.57,2,-1.75,-0.0007,2376.89,2377.18,2368.92,202618978,4598482943102,1544304910056582.0
2017-09-28,2373.14,1,0.57,0.0002,2374.1,2379.54,2365.67,194772385,4712785972369,1544474428637920.0
2017-09-29,2394.47,1,21.33,0.009,2378.66,2394.47,2378.66,184191469,4667349608627,1558243982037365.0
2017-10-10,2433.81,1,39.34,0.0163999999999999,2425.63,2443.2,2421.1,221744907,7507847583064,1583765606245860.0
2017-10-11,2458.16,1,24.35,0.01,2442.49,2458.16,2439.81,201771350,6086393607361,1600875567366644.0
2017-10-12,2474.76,1,16.6,0.0068,2461.7,2474.76,2459.48,256211091,6281852495969,1610914160398811.0
2017-10-13,2473.62,2,-1.14,-0.0005,2473.65,2479.73,2468.14,234800679,6823930497750,1610209162365154.0
2017-10-16,2480.05,1,6.43,0.0026,2483.17,2487.71,2470.24,224414601,6175084495255,1613827897181040.0
2017-10-17,2484.37,1,4.32,0.0017,2484.96,2487.88,2478.76,199049340,5322692469609,1616936985620854.0
2017-10-18,2482.91,2,-1.46,-0.0006,2481.53,2490.58,2475.67,244245315,5826518400297,1616101958610598.0
2017-10-19,2473.06,2,-9.85,-0.004,2485.72,2490.94,2468.67,236625102,6891246462861,1608466683663875.0
2017-10-20,2489.54,1,16.48,0.0067,2477.3,2489.54,2476.88,313210981,5648569217412,1619603666778770.0
2017-10-23,2490.05,1,0.51,0.0002,2497.65,2500.33,2485.48,274201074,4759871896709,1620087218757678.0
2017-10-24,2490.49,1,0.44,0.0002,2489.31,2497.35,2487.17,232007087,4624483372022,1620755283071592.0
2017-10-25,2492.5,1,2.01,0.0008,2495.87,2497.41,2481.48,599434815,5088790876720,1621564444486332.0
2017-10-26,2480.63,2,-11.87,-0.0048,2489.6,2495.99,2480.63,646882936,7143282820911,1613241151480574.0
2017-10-27,2496.63,1,16.0,0.0064,2485.44,2499.15,2479.67,511225841,6342961623830,1624402401259813.0
2017-10-30,2501.93,1,5.3,0.0021,2513.87,2513.87,2497.42,342006044,7020594596280,1626538441749277.0
2017-10-31,2523.43,1,21.5,0.0086,2500.21,2528.32,2498.05,313787839,7694499061209,1642285252211340.0
2017-11-01,2556.47,1,33.04,0.0131,2535.97,2556.47,2535.83,361796494,7567835319827,1664901460966523.0
2017-11-02,2546.36,2,-10.11,-0.004,2560.34,2561.63,2542.02,527727558,6255076761706,1658388200588871.0
2017-11-03,2557.97,1,11.61,0.0046,2558.37,2558.37,2539.72,292766734,5515019279641,1663024031632955.0
2017-11-06,2549.41,2,-8.56,-0.0033,2557.29,2559.9,2529.94,221187322,5433361687974,1657218530164353.0
2017-11-07,2545.44,2,-3.97,-0.0016,2548.3,2554.13,2540.67,253921533,5665741936347,1654339822911220.0
2017-11-08,2552.4,1,6.96,0.0027,2534.48,2558.74,2533.73,277039214,5716549898159,1658856803193087.0
2017-11-09,2550.57,2,-1.83,-0.0007,2559.93,2559.93,2536.54,293539510,6931784295564,1657645910813359.0
2017-11-10,2542.95,2,-7.62,-0.003,2541.18,2547.61,2534.6,291525443,5517622126016,1652577269634808.0
2017-11-13,2530.35,2,-12.6,-0.005,2548.27,2552.28,2527.2,266530871,6175703615155,1644648379198724.0
2017-11-14,2526.64,2,-3.71,-0.0015,2532.55,2532.95,2520.99,287771653,5999101866118,1640671062074470.0
2017-11-15,2518.25,2,-8.39,-0.0033,2525.6,2526.61,2511.76,398215052,7283457455182,1634963776457914.0
2017-11-16,2534.79,1,16.54,0.0066,2522.42,2538.28,2514.51,302931313,5633181615375,1645491389347119.0
2017-11-17,2533.99,2,-0.8,-0.0003,2546.05,2559.1,2533.99,362192360,6649668643775,1644529848984065.0
2017-11-20,2527.67,2,-6.32,-0.0025,2536.8,2542.62,2523.52,404259934,5868465645743,1640426168590907.0
2017-11-21,2530.7,1,3.03,0.0012,2533.85,2539.88,2525.96,484887336,7019796676060,1642523340347930.0
2017-11-22,2540.51,1,9.81,0.0039,2546.61,2553.22,2535.19,485670685,7600111570093,1649978495894348.0
2017-11-23,2537.15,2,-3.36,-0.0013,2542.34,2544.58,2532.45,391292206,5174188966228,1647721422135036.0
2017-11-24,2544.33,1,7.18,0.0028,2539.79,2544.33,2533.98,297938436,4477300958730,1652408594423036.0
2017-11-27,2507.81,2,-36.52,-0.0144,2544.74,2546.71,2506.69,284887372,6257121135157,1627300680864277.0
2017-11-28,2514.19,1,6.38,0.0025,2512.52,2521.06,2500.93,348243160,6518925879236,1631775247531632.0
2017-11-29,2512.9,2,-1.29,-0.0005,2517.26,2524.41,2508.66,301208934,5277563304654,1630844154260128.0
2017-11-30,2476.37,2,-36.53,-0.0144999999999999,2502.22,2506.32,2474.28,339022475,9397571888246,1607169300611141.0
2017-12-01,2475.41,2,-0.96,-0.0004,2488.92,2488.92,2472.75,288567773,5740174453415,1606563650638214.0
2017-12-04,2501.67,1,26.26,0.0106,2486.72,2501.67,2476.29,323846695,6056436249774,1622966082149765.0
2017-12-05,2510.12,1,8.45,0.0034,2490.73,2513.68,2487.15,395429917,5926806208558,1627839539747175.0
2017-12-06,2474.37,2,-35.75,-0.0141999999999999,2510.19,2510.47,2474.29,507624093,6651308074342,1605164241913800.0
2017-12-07,2461.98,2,-12.39,-0.005,2479.55,2480.85,2452.4,404853502,6307570109010,1598885756291950.0
2017-12-08,2464.0,1,2.02,0.0008,2470.09,2473.17,2459.02,406381502,5484859462873,1602767069220294.0
2017-12-11,2471.49,1,7.49,0.003,2467.81,2471.99,2457.98,240137827,4613094251741,1607943364503335.0
2017-12-12,2461.0,2,-10.49,-0.0042,2471.23,2471.43,2455.39,281191226,5292539448215,1601445481742917.0
2017-12-13,2480.55,1,19.55,0.0079,2462.42,2481.92,2457.7,254953381,5121323451164,1613324380847097.0
2017-12-14,2469.48,2,-11.07,-0.0045,2486.57,2514.61,2469.48,317786649,8276523381672,1606804196280957.0
2017-12-15,2482.07,1,12.59,0.0051,2488.39,2495.08,2475.99,340758800,6047301989889,1614080828688818.0
2017-12-18,2481.88,2,-0.19,-0.0001,2488.83,2488.83,2477.29,324358231,4477139154956,1614248576301355.0
2017-12-19,2478.53,2,-3.35,-0.0013,2487.83,2498.67,2470.49,308390513,5239923476499,1612412730581815.0
2017-12-20,2472.37,2,-6.16,-0.0025,2473.82,2484.5,2470.62,236176160,4748794271453,1607733541577158.0
2017-12-21,2429.83,2,-42.54,-0.0172,2471.34,2471.73,2429.83,247330424,5351502434046,1579690638576792.0
2017-12-22,2440.54,1,10.71,0.0044,2437.59,2444.57,2426.94,230412744,4801820423885,1587459773317036.0
2017-12-26,2427.34,2,-13.2,-0.0054,2447.67,2457.19,2427.34,224640628,5641602541910,1578386110073661.0
2017-12-27,2436.67,1,9.33,0.0038,2420.86,2436.68,2411.48,194850122,4845393986872,1584816760856774.0
2017-12-28,2467.49,1,30.82,0.0126,2439.31,2467.51,2437.26,220336303,4274352132703,1605820911910270.0
2018-01-02,2479.65,1,12.16,0.0049,2474.86,2481.02,2465.94,262205431,4786386686165,1613508196692261.0
2018-01-03,2486.35,1,6.7,0.0027,2484.63,2493.4,2481.91,331094681,6019622040484,1617634317727445.0
2018-01-04,2466.46,2,-19.89,-0.008,2502.5,2502.5,2466.45,333836328,6896287056563,1604916139690676.0
2018-01-05,2497.52,1,31.06,0.0126,2476.85,2497.52,2475.51,308769669,6317518427311,1624970533116195.0
2018-01-08,2513.28,1,15.76,0.0063,2510.7,2515.37,2494.18,311429324,6404885697956,1634777680824259.0
2018-01-09,2510.23,2,-3.05,-0.0012,2510.73,2524.73,2498.41,374322741,7345518522444,1632067011137727.0
2018-01-10,2499.75,2,-10.48,-0.0042,2516.33,2516.82,2493.98,444022038,8577963205899,1624057751825978.0
2018-01-11,2487.91,2,-11.84,-0.0046999999999999,2496.86,2502.52,2483.82,444340157,7789310921248,1616665407672775.0
2018-01-12,2496.42,1,8.51,0.0034,2499.87,2500.87,2482.15,438775501,8772175387868,1621717048649402.0
2018-01-15,2503.73,1,7.31,0.0029,2510.97,2513.3,2496.18,404550878,6118634777651,1626574287749373.0
2018-01-16,2521.74,1,18.01,0.0072,2504.16,2524.55,2498.55,341606608,6913692888279,1639188169775360.0
2018-01-17,2515.43,2,-6.31,-0.0025,2517.19,2521.97,2506.49,336712525,6325747268741,1634771858627720.0
2018-01-18,2515.81,1,0.38,0.0002,2527.67,2532.08,2512.69,333112031,6447655644566,1635724489304135.0
2018-01-19,2520.26,1,4.45,0.0018,2519.67,2524.33,2513.09,351845047,6263000889905,1637786602548241.0
2018-01-22,2502.11,2,-18.15,-0.0072,2516.9,2517.12,2488.44,342994024,6385331485527,1626287540675022.0
2018-01-23,2536.6,1,34.49,0.0138,2510.35,2536.6,2507.96,370007847,6838404249758,1648667380287201.0
2018-01-24,2538.0,1,1.4,0.0006,2533.86,2547.22,2531.31,371087271,6764738182069,1649315305139719.0
2018-01-25,2562.23,1,24.23,0.0095,2536.96,2564.43,2536.73,514605010,7867501171189,1665284071087011.0
2018-01-26,2574.76,1,12.53,0.0049,2560.69,2574.76,2553.53,400648704,7673559139308,1673359183533335.0
2018-01-29,2598.19,1,23.43,0.0091,2588.87,2607.1,2587.55,437474733,7908139065694,1688814425714740.0
2018-01-30,2567.74,2,-30.45,-0.0116999999999999,2590.41,2599.17,2567.07,397038667,7877966009199,1668674846117706.0
2018-01-31,2566.46,2,-1.28,-0.0005,2557.37,2597.14,2553.01,403051379,10842647300529,1668579804446713.0
2018-02-01,2568.54,1,2.08,0.0008,2578.91,2583.74,2564.59,595147219,8053098628981,1670143714819334.0
2018-02-02,2525.39,2,-43.15,-0.0168,2565.99,2565.99,2519.6,481817771,8260733147352,1641386345850764.0
2018-02-05,2491.75,2,-33.64,-0.0133,2487.34,2503.99,2476.24,442349802,8096051108853,1620158999308614.0
2018-02-06,2453.31,2,-38.44,-0.0154,2437.02,2460.28,2409.38,582836967,9566550780902,1595275241964516.0
2018-02-07,2396.56,2,-56.75,-0.0231,2483.72,2484.18,2396.56,460075034,8369362461175,1558072990513737.0
2018-02-08,2407.62,1,11.06,0.0046,2400.17,2423.88,2393.46,362415715,7275110328522,1563754336073031.0
2018-02-09,2363.77,2,-43.85,-0.0182,2346.73,2372.9,2346.73,489112012,8524086490331,1567308138862405.0
2018-02-12,2385.38,1,21.61,0.0091,2380.49,2397.9,2367.31,352288396,6631083611178,1581810883666255.0
2018-02-13,2395.19,1,9.81,0.0040999999999999,2402.89,2421.8,2388.54,423415702,7333093361490,1589989717563195.0
2018-02-14,2421.83,1,26.64,0.0111,2412.47,2426.63,2408.02,305739307,5970263260786,1607999332677788.0
2018-02-19,2442.82,1,20.99,0.0087,2452.52,2455.12,2428.15,322137444,5843436838599,1621617423724698.0
2018-02-20,2415.12,2,-27.7,-0.0113,2433.35,2438.48,2411.23,421485575,5146648554123,1603559124107592.0
2018-02-21,2429.65,1,14.53,0.006,2417.73,2432.45,2404.02,432275482,6074260982996,1612751528318363.0
2018-02-22,2414.28,2,-15.37,-0.0063,2417.18,2422.62,2405.23,349492766,4982023714638,1602148941100045.0
2018-02-23,2451.52,1,37.24,0.0154,2427.13,2451.52,2427.13,300578392,5387096363913,1626053757217473.0
2018-02-26,2457.65,1,6.13,0.0025,2465.35,2466.08,2447.86,321259942,5606026686918,1630210235664343.0
2018-02-27,2456.14,2,-1.51,-0.0006,2474.08,2480.79,2456.14,271231732,5674164168373,1629406359657681.0
2018-02-28,2427.36,2,-28.78,-0.0116999999999999,2447.11,2460.12,2426.21,367556992,7168378397321,1611555217440049.0
2018-03-02,2402.16,2,-25.2,-0.0104,2406.57,2410.34,2387.25,320397214,6077888427411,1593948106214368.0
2018-03-05,2375.06,2,-27.1,-0.0113,2405.92,2407.98,2374.8,312254166,5785012821697,1575913633409285.0
2018-03-06,2411.41,1,36.35,0.0153,2400.67,2413.01,2392.87,400110606,6598571319382,1600329702863531.0
2018-03-07,2401.82,2,-9.59,-0.004,2413.39,2429.43,2395.24,412971976,8956678689024,1594937953645217.0
2018-03-08,2433.08,1,31.26,0.013,2420.67,2433.08,2407.59,394848837,9053040319812,1614933613693764.0
2018-03-09,2459.45,1,26.37,0.0108,2443.43,2476.43,2436.03,437265049,8573691173426,1633438701140137.0
2018-03-12,2484.12,1,24.67,0.01,2485.64,2489.46,2474.91,391303828,6570618360609,1649789282909638.0
2018-03-13,2494.49,1,10.37,0.0042,2483.05,2494.49,2478.76,350203303,7828709039614,1657712132525991.0
2018-03-14,2486.08,2,-8.41,-0.0034,2477.43,2486.98,2474.77,360865629,6379749607517,1652629050198838.0
2018-03-15,2492.38,1,6.3,0.0025,2486.0,2496.51,2471.04,344009541,6065884278852,1656176341047252.0
2018-03-16,2493.97,1,1.59,0.0006,2495.11,2497.8,2476.88,377766164,6566428705337,1656858023362981.0
2018-03-19,2475.03,2,-18.94,-0.0076,2491.99,2493.56,2470.91,477219243,5994568990918,1644237392926035.0
2018-03-20,2485.52,1,10.49,0.0042,2456.8,2485.52,2456.8,291495677,5384113953235,1650420083849268.0
2018-03-21,2484.97,2,-0.55,-0.0002,2488.22,2492.88,2483.78,399073627,5925541828231,1650337890011040.0
2018-03-22,2496.02,1,11.05,0.0044,2494.84,2508.71,2485.34,482138402,7178799207568,1658523131745911.0
2018-03-23,2416.76,2,-79.26,-0.0318,2446.73,2450.4,2412.62,457952885,7931474005661,1606035961362604.0
2018-03-26,2437.08,1,20.32,0.0084,2414.68,2437.08,2399.44,306904047,5928635174731,1620507612243551.0
2018-03-27,2452.06,1,14.98,0.0060999999999999,2455.0,2456.55,2444.92,332128629,6305554223861,1631743152187368.0
2018-03-28,2419.29,2,-32.77,-0.0134,2425.94,2430.77,2409.47,501307087,7761054046551,1610067602397524.0
2018-03-29,2436.37,1,17.08,0.0070999999999999,2421.7,2439.47,2413.71,333359418,7256777131644,1621052949774626.0
2018-03-30,2445.85,1,9.48,0.0039,2454.1,2458.24,2445.72,395329333,6434444751664,1627646951097347.0
2018-04-02,2444.16,2,-1.69,-0.0007,2454.72,2467.52,2440.89,390319364,6841687754496,1626392939769494.0
2018-04-03,2442.43,2,-1.73,-0.0007,2422.26,2442.43,2416.44,497140700,7950088373987,1625310856362044.0
2018-04-04,2408.06,2,-34.37,-0.0141,2447.97,2447.97,2405.91,551703792,8092053728669,1602618531596691.0
2018-04-05,2437.52,1,29.46,0.0121999999999999,2426.92,2446.78,2420.92,591042776,7566951644330,1622983873221529.0
2018-04-06,2429.58,2,-7.94,-0.0033,2420.88,2433.97,2417.24,454309390,7301080603762,1617425107083266.0
2018-04-09,2444.08,1,14.5,0.006,2424.15,2446.28,2424.15,334424856,6607392483482,1626997763123581.0
2018-04-10,2450.74,1,6.66,0.0027,2439.94,2454.36,2419.55,356390247,7520110243184,1631061461581974.0
2018-04-11,2444.22,2,-6.52,-0.0027,2456.53,2458.99,2441.2,355187841,7468123411686,1626689363107901.0
2018-04-12,2442.71,2,-1.51,-0.0006,2450.95,2454.95,2441.58,441568798,8152884929722,1626103066814739.0
2018-04-13,2455.07,1,12.36,0.0051,2449.42,2457.85,2442.35,395886275,6923900430202,1636609095887849.0
2018-04-16,2457.49,1,2.42,0.001,2466.04,2466.16,2449.97,347173891,6220737037163,1638625626150778.0
2018-04-17,2453.77,2,-3.72,-0.0015,2459.39,2465.63,2449.08,394700566,6360648307538,1636624620529463.0
2018-04-18,2479.98,1,26.21,0.0107,2467.55,2486.73,2467.55,647285560,8204323390107,1655299463820137.0
2018-04-19,2486.1,1,6.12,0.0025,2483.26,2490.57,2476.51,727030551,10118365584098,1660195914143812.0
2018-04-20,2476.33,2,-9.77,-0.0039,2478.59,2485.15,2472.37,531718615,7841558042438,1653175538872689.0
2018-04-23,2474.11,2,-2.22,-0.0009,2473.7,2478.57,2466.57,701423406,9372647655556,1651720966246060.0
2018-04-24,2464.14,2,-9.97,-0.004,2478.47,2479.32,2454.44,524280424,8300865934566,1644743510628773.0
2018-04-25,2448.81,2,-15.33,-0.0062,2444.19,2453.54,2436.51,466095694,7527931028887,1634741766182717.0
2018-04-26,2475.64,1,26.83,0.011,2460.62,2484.09,2456.2,520917204,7921705274576,1653073966859293.0
2018-04-27,2492.4,1,16.76,0.0068,2497.75,2508.13,2484.19,464957970,8299222866503,1664373650696992.0
2018-04-30,2515.38,1,22.98,0.0092,2502.29,2515.38,2500.22,746291866,9460289371735,1680104341308118.0
2018-05-02,2505.61,2,-9.77,-0.0039,2515.75,2516.57,2501.71,807588696,11712287148051,1673457322099731.0
2018-05-03,2487.25,2,-18.36,-0.0073,2506.94,2507.91,2487.25,614102408,7866074431575,1661556510448960.0
2018-05-04,2461.38,2,-25.87,-0.0104,2486.47,2487.77,2461.38,612024164,10816535475626,1645196661327540.0
2018-05-08,2449.81,2,-11.57,-0.0046999999999999,2468.45,2479.75,2444.08,714734325,9630702860810,1638340178049862.0
2018-05-09,2443.98,2,-5.83,-0.0024,2450.71,2451.86,2428.79,593365934,9069419048307,1633304235911807.0
2018-05-10,2464.16,1,20.18,0.0083,2458.67,2464.72,2448.01,490004983,8870446383563,1646413172538834.0
2018-05-11,2477.71,1,13.55,0.0055,2469.3,2483.85,2468.41,599900764,7588728929001,1655512770777994.0
2018-05-14,2476.11,2,-1.6,-0.0006,2482.97,2486.17,2471.91,650707583,9563127368510,1654107231070333.0
2018-05-15,2458.54,2,-17.57,-0.0070999999999999,2476.87,2480.22,2456.2,712619903,9446302233976,1641597148622869.0
2018-05-16,2459.82,1,1.28,0.0005,2446.64,2465.55,2444.67,691813391,9817111137756,1642766226475866.0
2018-05-17,2448.45,2,-11.37,-0.0046,2468.72,2472.82,2448.43,596771754,8190532097732,1634548231145054.0
2018-05-18,2460.65,1,12.2,0.005,2459.73,2461.95,2452.34,431376689,6463038548404,1643541494279841.0
2018-05-21,2465.57,1,4.92,0.002,2464.07,2472.3,2447.69,588088192,6298421053170,1646798798616211.0
2018-05-23,2471.91,1,6.34,0.0026,2462.98,2476.86,2460.07,752675599,9262008770745,1651604786247934.0
2018-05-24,2466.01,2,-5.9,-0.0024,2477.48,2481.31,2457.84,638125950,6766220453952,1647251127098773.0
2018-05-25,2460.8,2,-5.21,-0.0021,2452.8,2466.57,2444.77,653592136,9078584311826,1645067821831900.0
2018-05-28,2478.96,1,18.16,0.0074,2465.0,2482.4,2463.14,708362383,9841222237932,1656584844176667.0
